               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11154,            0.041194,            0.071041,           0.0047555,             0.17846,           0.0042267,           0.0013128,            0.080068,            0.041546,             0.19431,            0.070536,           0.0032738,           0.0032738
                   1,            0.085952,            0.041202,            0.015774,           0.0059051,             0.19329,            0.007037,           0.0031268,            0.084811,             0.02782,             0.18461,            0.040405,           0.0064763,           0.0064763
                   2,            0.083493,            0.038057,            0.010854,           0.0066672,             0.28371,           0.0096044,           0.0048038,            0.069578,            0.025135,             0.16971,            0.010142,           0.0095468,           0.0095468
                   3,            0.077733,            0.036979,           0.0094055,           0.0076568,             0.30226,             0.01076,            0.004567,            0.064322,            0.031388,              0.1676,            0.009406,            0.009406,            0.009406
                   4,             0.06876,            0.035822,            0.008459,            0.006799,             0.32269,           0.0097171,           0.0037026,            0.072676,            0.027795,             0.16769,            0.009406,            0.009406,            0.009406
                   5,            0.063334,            0.035604,           0.0077984,            0.007835,             0.38628,            0.012478,           0.0056209,            0.065171,            0.029362,             0.16705,            0.009208,            0.009208,            0.009208
                   6,            0.059986,            0.034989,            0.007284,           0.0084558,             0.36461,            0.012972,           0.0050628,            0.060911,            0.033632,             0.16814,             0.00901,             0.00901,             0.00901
                   7,            0.057501,            0.034716,            0.007028,           0.0090027,             0.46857,            0.014721,            0.006348,            0.059458,            0.029322,             0.16713,            0.008812,            0.008812,            0.008812
                   8,            0.055731,            0.034958,           0.0066613,             0.00935,             0.50944,            0.016301,           0.0075253,            0.054098,            0.026686,             0.16788,            0.008614,            0.008614,            0.008614
                   9,            0.054475,            0.037047,           0.0064381,           0.0095464,             0.52269,            0.015975,           0.0070041,             0.05465,            0.028857,             0.17262,            0.008416,            0.008416,            0.008416
                  10,            0.052639,            0.033773,           0.0060661,           0.0090458,             0.51853,            0.015457,           0.0076044,            0.055061,            0.027947,             0.17551,            0.008218,            0.008218,            0.008218
                  11,            0.051608,            0.034647,              0.0058,            0.009907,             0.52327,            0.015741,           0.0094497,            0.048689,             0.03034,             0.17576,             0.00802,             0.00802,             0.00802
                  12,            0.049105,            0.033914,           0.0055835,           0.0099766,              0.5698,            0.017264,            0.011666,            0.042387,             0.02916,             0.17803,            0.007822,            0.007822,            0.007822
                  13,            0.049439,            0.033006,           0.0054017,            0.010924,             0.53945,            0.017355,            0.011075,            0.044826,            0.029918,             0.18033,            0.007624,            0.007624,            0.007624
                  14,            0.048959,             0.03213,           0.0053205,            0.010749,             0.53055,            0.017698,            0.012223,            0.043005,            0.030604,             0.17718,            0.007426,            0.007426,            0.007426
                  15,            0.048861,            0.033383,           0.0052202,            0.010798,             0.54925,            0.015865,            0.010806,            0.042408,            0.029649,              0.1809,            0.007228,            0.007228,            0.007228
                  16,            0.047566,            0.033305,           0.0050565,            0.010403,             0.57809,             0.01776,            0.012112,            0.042906,            0.029598,             0.18128,             0.00703,             0.00703,             0.00703
                  17,            0.045965,            0.031339,           0.0047933,            0.010663,             0.58257,            0.017774,            0.011612,            0.043452,            0.028457,             0.18537,            0.006832,            0.006832,            0.006832
                  18,            0.046949,             0.03364,           0.0047455,            0.010084,             0.54653,            0.014972,           0.0091731,            0.048675,            0.028389,             0.18582,            0.006634,            0.006634,            0.006634
