               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10987,            0.044589,                   0,             0.27728,             0.29018,             0.18147,             0.05499,            0.090362,            0.042988,                   0,            0.070536,           0.0032738,           0.0032738
                   1,            0.082496,            0.042704,                   0,             0.40707,             0.42025,             0.36037,             0.11084,            0.073629,            0.032142,                   0,            0.040405,           0.0064763,           0.0064763
                   2,            0.075006,            0.039092,                   0,             0.36285,             0.53483,             0.36516,             0.12885,            0.069702,            0.030013,                   0,            0.010142,           0.0095468,           0.0095468
                   3,            0.069605,            0.038762,                   0,             0.49303,             0.58076,             0.55534,             0.25661,            0.064451,            0.030269,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.059976,            0.038437,                   0,             0.68398,             0.70358,             0.74077,             0.31464,            0.054292,              0.0297,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.055044,            0.035652,                   0,             0.82668,             0.77816,             0.85316,             0.41665,            0.048421,            0.027895,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.051456,             0.03539,                   0,             0.84927,             0.78204,             0.87025,             0.44651,            0.046258,            0.026925,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050278,            0.035552,                   0,             0.87876,             0.80603,             0.89191,              0.4593,            0.045338,            0.026211,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.04845,            0.035198,                   0,             0.88821,             0.80936,              0.8949,             0.47913,            0.043151,            0.026778,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048048,            0.035058,                   0,              0.8806,              0.8336,             0.90922,             0.48712,            0.042289,            0.025515,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045952,            0.034652,                   0,              0.8919,               0.812,             0.90012,             0.47741,            0.043354,            0.025687,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045172,            0.033279,                   0,             0.89306,             0.83665,             0.91728,             0.51433,            0.040976,            0.024926,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.044988,            0.034021,                   0,              0.8971,             0.84375,             0.92506,             0.50119,            0.040537,            0.024606,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04364,               0.034,                   0,              0.9013,             0.84502,             0.92816,             0.53686,            0.039456,            0.024391,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043291,            0.031779,                   0,             0.90307,             0.84761,              0.9286,             0.54062,            0.038977,            0.024289,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.042875,            0.032254,                   0,             0.90502,             0.85958,             0.93545,             0.55383,            0.038444,            0.023888,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.041873,            0.033011,                   0,             0.91607,             0.85369,              0.9342,             0.54113,            0.038564,            0.023735,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.040484,            0.032222,                   0,             0.90654,             0.84781,              0.9336,             0.55388,            0.037417,            0.023661,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.04077,            0.031989,                   0,             0.90926,             0.87236,             0.94276,             0.55841,            0.036837,            0.023416,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.040556,            0.032981,                   0,             0.90542,             0.87865,             0.94317,              0.5625,             0.03664,            0.022942,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.040108,            0.031578,                   0,             0.91652,             0.87642,             0.94466,             0.57793,            0.035777,            0.022968,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.040239,            0.031012,                   0,             0.92124,             0.87723,             0.94777,             0.57591,            0.035947,            0.022807,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.039166,            0.030679,                   0,             0.92657,             0.87571,              0.9484,             0.57723,            0.036312,            0.022584,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.040582,            0.034133,                   0,             0.92498,             0.87824,             0.95077,             0.58969,            0.034828,            0.022313,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.038404,            0.030976,                   0,             0.93328,             0.88277,              0.9533,              0.5768,            0.035225,            0.022181,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.037793,            0.031422,                   0,             0.92716,             0.87784,             0.95067,             0.59482,            0.034347,            0.022195,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.037189,            0.029754,                   0,             0.92732,             0.89367,             0.95537,             0.60071,            0.034203,            0.021589,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.038909,            0.030672,                   0,             0.93131,              0.8859,             0.95335,              0.5898,            0.034859,            0.021771,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.037031,            0.029346,                   0,             0.93021,             0.89519,             0.95838,             0.60875,            0.033833,            0.021451,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.037174,             0.03038,                   0,             0.93689,             0.89286,             0.96055,             0.60896,            0.033951,            0.021261,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.036564,            0.028692,                   0,             0.93891,             0.89164,             0.95998,             0.60756,            0.033586,            0.021308,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.036456,            0.029717,                   0,             0.93247,             0.90227,             0.96412,              0.6183,            0.033304,            0.021097,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.036438,            0.031272,                   0,             0.94202,             0.90544,             0.96477,             0.62155,            0.033176,            0.020888,                   0,            0.003862,            0.003862,            0.003862
                  33,              0.0367,            0.029342,                   0,             0.93547,             0.90011,             0.96286,             0.62306,            0.033193,             0.02095,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.03549,            0.029629,                   0,             0.93916,             0.90847,             0.96602,             0.62536,            0.032726,            0.020764,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.036138,            0.029061,                   0,             0.94029,             0.90402,              0.9641,             0.62751,            0.032792,            0.020849,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.035385,            0.028845,                   0,             0.94507,             0.90869,             0.96738,             0.62751,            0.032619,            0.020488,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.034965,            0.027886,                   0,             0.94947,             0.90748,             0.96738,             0.63831,            0.031921,            0.020302,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.035817,            0.029955,                   0,             0.94426,             0.91436,             0.96939,             0.63996,            0.031928,            0.020177,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.034355,            0.027973,                   0,             0.94582,             0.91802,             0.97023,             0.64007,            0.031805,            0.020114,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.034361,            0.027411,                   0,             0.94615,             0.91628,              0.9702,             0.64198,            0.031692,            0.019931,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.034605,            0.027829,                   0,             0.95005,             0.91477,             0.97168,             0.64258,            0.031599,             0.01992,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.034556,            0.028326,                   0,             0.95168,             0.91741,             0.97266,             0.64897,            0.031373,            0.019825,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.034332,             0.02799,                   0,             0.95382,             0.91761,             0.97372,             0.65196,            0.031156,            0.019707,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.034462,            0.029382,                   0,              0.9535,              0.9166,             0.97141,             0.65051,            0.031252,             0.01973,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.034167,            0.027466,                   0,             0.94793,             0.91356,             0.97102,             0.65345,            0.030946,            0.019547,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.034041,            0.027052,                   0,             0.95268,             0.91917,             0.97649,             0.65535,            0.030861,            0.019498,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.033811,            0.027827,                   0,             0.95057,             0.91295,             0.97358,             0.65877,            0.030707,             0.01945,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.033499,            0.027998,                   0,             0.95478,             0.92116,             0.97476,             0.65912,            0.030595,            0.019366,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.033449,            0.027574,                   0,             0.95487,             0.91802,              0.9752,              0.6602,            0.030588,            0.019375,                   0,            0.000496,            0.000496,            0.000496
